model,task_id,truth_n1,truth_n100,delta,within_task_auc
Llama-3-8B,HumanEval/0,0.61,1.0,0.39,1.0
Llama-3-8B,HumanEval/1,0.67,0.7144871919052639,0.044487191905263845,0.9416553595658074
Llama-3-8B,HumanEval/2,0.92,1.0,0.07999999999999996,1.0
Llama-3-8B,HumanEval/3,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/4,0.72,1.0,0.28,1.0
Llama-3-8B,HumanEval/5,0.29000000000000004,0.9999999999999987,0.7099999999999986,1.0
Llama-3-8B,HumanEval/6,0.29000000000000004,0.3660323412686003,0.07603234126860026,0.9310344827586207
Llama-3-8B,HumanEval/7,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/8,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/9,0.95,1.0,0.050000000000000044,1.0
Llama-3-8B,HumanEval/10,0.10999999999999999,0.9999913103824116,0.8899913103824116,1.0
Llama-3-8B,HumanEval/11,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/12,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/13,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/14,0.75,1.0,0.25,1.0
Llama-3-8B,HumanEval/15,0.98,1.0,0.020000000000000018,1.0
Llama-3-8B,HumanEval/16,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/17,0.31000000000000005,0.9999999999999999,0.6899999999999998,1.0
Llama-3-8B,HumanEval/18,0.92,1.0,0.07999999999999996,1.0
Llama-3-8B,HumanEval/19,0.73,1.0,0.27,1.0
Llama-3-8B,HumanEval/20,0.97,1.0,0.030000000000000027,1.0
Llama-3-8B,HumanEval/21,0.05000000000000001,0.16632419165479836,0.11632419165479835,0.5357894736842105
Llama-3-8B,HumanEval/22,0.0,0.0,0.0,nan
Llama-3-8B,HumanEval/23,1.0,1.0,0.0,nan
Llama-3-8B,HumanEval/24,0.99,1.0,0.010000000000000009,1.0
Llama-3-8B,HumanEval/25,0.62,1.0,0.38,1.0
Llama-3-8B,HumanEval/26,0.01,6.33825300114116e-171,-0.01,0.005050505050505051
